dataset,method,K,n_cells,n_genes_used,n_pcs,batch_LISI,ARI,NMI,best_ari_resolution,best_nmi_resolution,kNN_acc,ASW,VarRatio,invLISI
full_dataset,Seurat v3,500,10942,500,30,,0.7299436864356855,0.833205671597731,0.2,0.2,0.9479985377444708,0.2977871000766754,2.722057048581128,0.9135033205385974
full_dataset,Seurat v3,1000,10942,1000,30,,0.6815615313550565,0.7893751929256448,0.3,0.2,0.9632608298300128,0.32353639602661133,3.2800049734018666,0.9366467637441864
full_dataset,Seurat v3,2000,10942,2000,30,,0.7070168484875454,0.794869565485589,0.4,0.2,0.9659111679766039,0.3266581594944,3.2779409346208137,0.9404679217693293
full_dataset,Seurat,500,10942,500,30,,0.7545987612341869,0.8226168712076323,0.7,0.4,0.9465362822153172,0.25466209650039673,1.4466745821060802,0.9077538130343834
full_dataset,Seurat,1000,10942,1000,30,,0.7125639467521736,0.8104593357847327,0.4,0.2,0.9657283860354597,0.30227693915367126,2.7921839667425465,0.9344602855460102
full_dataset,Seurat,2000,10942,2000,30,,0.6898718949828712,0.8012653190271896,0.5,0.1,0.9687442880643392,0.3190360963344574,3.5268680228987654,0.9404356302930603
full_dataset,scran MV,500,10942,500,30,,0.7279440113248045,0.79621931302551,0.5,0.3,0.9610674465362822,0.30389732122421265,3.151391346823825,0.9334842299803002
full_dataset,scran MV,1000,10942,1000,30,,0.7457803246064768,0.811093363844923,0.4,0.4,0.9633522208005849,0.3183222711086273,3.2431392918463087,0.9368541197018625
full_dataset,scran MV,2000,10942,2000,30,,0.7372835344156428,0.8045042841125324,0.3,0.3,0.9639919575945897,0.3212857246398926,3.2032667763677503,0.9386614269176871
full_dataset,SCT proxy,500,10942,500,30,,0.7465710468114618,0.8120973895661435,0.5,0.5,0.961798574300859,0.30929630994796753,3.687911236217636,0.9380312354028311
full_dataset,SCT proxy,1000,10942,1000,30,,0.7498155219672835,0.8120445313496439,0.3,0.5,0.9616157923597148,0.30900877714157104,3.4772605477708054,0.9394674952781332
full_dataset,SCT proxy,2000,10942,2000,30,,0.74003474553153,0.8135557611334093,0.3,0.4,0.9637177846828733,0.30939406156539917,3.3267045781495637,0.9399918763581715
