dataset,method,K,average_rank,inverse_average_rank
full_dataset,Seurat v3,500,2.6666666666666665,0.375
full_dataset,Seurat,500,3.1666666666666665,0.31578947368421056
full_dataset,scran MV,500,2.6666666666666665,0.375
full_dataset,SCT proxy,500,1.5,0.6666666666666666
full_dataset,Seurat v3,1000,2.8333333333333335,0.3529411764705882
full_dataset,Seurat,1000,3.1666666666666665,0.31578947368421056
full_dataset,scran MV,1000,2.1666666666666665,0.46153846153846156
full_dataset,SCT proxy,1000,1.8333333333333333,0.5454545454545455
full_dataset,Seurat v3,2000,2.3333333333333335,0.42857142857142855
full_dataset,Seurat,2000,2.3333333333333335,0.42857142857142855
full_dataset,scran MV,2000,2.8333333333333335,0.3529411764705882
full_dataset,SCT proxy,2000,2.5,0.4
