dataset,method,gene,score,rank
full_dataset,Seurat v3,PPBP,36.96251643885195,1
full_dataset,Seurat v3,PF4,24.90350004106872,2
full_dataset,Seurat v3,IGLC3,22.131268384785844,3
full_dataset,Seurat v3,PTGDS,19.299333494588222,4
full_dataset,Seurat v3,JCHAIN,18.12406988837377,5
full_dataset,Seurat v3,CAVIN2,14.842297090458466,6
full_dataset,Seurat v3,GNLY,14.404208160738545,7
full_dataset,Seurat v3,TUBB1,14.176459061531316,8
full_dataset,Seurat v3,GNG11,13.95196191458252,9
full_dataset,Seurat v3,FCER1A,13.756574754390881,10
full_dataset,Seurat v3,IGKC,11.950254125274475,11
full_dataset,Seurat v3,GZMB,11.933361350252012,12
full_dataset,Seurat v3,IGLC2,11.253280857267917,13
full_dataset,Seurat v3,FCGR3A,11.167029649929,14
full_dataset,Seurat v3,CCL4,10.392814336216595,15
full_dataset,Seurat v3,NRGN,10.233660423000197,16
full_dataset,Seurat v3,PTCRA,9.97745059895634,17
full_dataset,Seurat v3,S100A9,9.89866811291477,18
full_dataset,Seurat v3,LILRA4,9.84728407963638,19
full_dataset,Seurat v3,CLEC10A,9.768298373972653,20
full_dataset,Seurat v3,GP9,9.758948007845728,21
full_dataset,Seurat v3,CDKN1C,9.523960470137204,22
full_dataset,Seurat v3,C1QA,9.42312665664852,23
full_dataset,Seurat v3,ITM2C,8.83235543654284,24
full_dataset,Seurat v3,STMN1,8.816934541831495,25
full_dataset,Seurat v3,S100A8,8.511330117296247,26
full_dataset,Seurat v3,TMEM40,8.370995734252467,27
full_dataset,Seurat v3,HLA-DPA1,8.359296627054027,28
full_dataset,Seurat v3,CLU,8.223108947314147,29
full_dataset,Seurat v3,HLA-DPB1,7.865184861747268,30
full_dataset,Seurat v3,IGHA1,7.845264061863759,31
full_dataset,Seurat v3,ACRBP,7.844532539867754,32
full_dataset,Seurat v3,HLA-DQA1,7.762099860128199,33
full_dataset,Seurat v3,MZB1,7.569512983882357,34
full_dataset,Seurat v3,HIST1H2AC,7.414384048725583,35
full_dataset,Seurat v3,TSC22D1,7.39588645946949,36
full_dataset,Seurat v3,HLA-DRA,7.085356887867448,37
full_dataset,Seurat v3,NKG7,6.935763183897797,38
full_dataset,Seurat v3,EREG,6.8962665183684715,39
full_dataset,Seurat v3,CLEC1B,6.878017960067185,40
full_dataset,Seurat v3,PLD4,6.788049695263676,41
full_dataset,Seurat v3,IGHM,6.728289469249548,42
full_dataset,Seurat v3,PCLAF,6.60794784838413,43
full_dataset,Seurat v3,LYZ,6.607340058553501,44
full_dataset,Seurat v3,FGFBP2,6.457651208217071,45
full_dataset,Seurat v3,DNASE1L3,6.327049489449889,46
full_dataset,Seurat v3,LMNA,6.218316455356713,47
full_dataset,Seurat v3,CD1C,6.159014002870392,48
full_dataset,Seurat v3,MKI67,6.0848187689602025,49
full_dataset,Seurat v3,TCL1A,6.0661574989331895,50
full_dataset,Seurat v3,TCF4,6.050128118635309,51
full_dataset,Seurat v3,CLIC3,5.962938147518066,52
full_dataset,Seurat v3,HBG2,5.925827776290185,53
full_dataset,Seurat v3,GZMH,5.871444149982394,54
full_dataset,Seurat v3,CXCL8,5.855177976752934,55
full_dataset,Seurat v3,HLA-DQB1,5.75314852398236,56
full_dataset,Seurat v3,HLA-DRB1,5.709491663423496,57
full_dataset,Seurat v3,SPON2,5.62949520141112,58
full_dataset,Seurat v3,CMTM5,5.574748151208085,59
full_dataset,Seurat v3,UGCG,5.5697334968761485,60
full_dataset,Seurat v3,G0S2,5.564790381037016,61
full_dataset,Seurat v3,IRF8,5.488255500102631,62
full_dataset,Seurat v3,CCL3,5.392525846861878,63
full_dataset,Seurat v3,S100A12,5.363791781946635,64
full_dataset,Seurat v3,TRDC,5.353373334736444,65
full_dataset,Seurat v3,CLDN5,5.3413883970958285,66
full_dataset,Seurat v3,IRF7,5.317777496455549,67
full_dataset,Seurat v3,CCDC50,5.301793224523355,68
full_dataset,Seurat v3,CD9,5.286791472750225,69
full_dataset,Seurat v3,TPM2,5.266964785622658,70
full_dataset,Seurat v3,S100B,5.25631754965037,71
full_dataset,Seurat v3,IFIT1,5.253462814811867,72
full_dataset,Seurat v3,ITGA2B,5.230835677164094,73
full_dataset,Seurat v3,SERPINF1,5.213637165063657,74
full_dataset,Seurat v3,DERL3,5.1602450859290965,75
full_dataset,Seurat v3,CD74,5.101390590336139,76
full_dataset,Seurat v3,IL3RA,5.061780206053495,77
full_dataset,Seurat v3,CTTN,5.061316088281803,78
full_dataset,Seurat v3,PRF1,4.992210702406963,79
full_dataset,Seurat v3,HMOX1,4.973487470235777,80
full_dataset,Seurat v3,GZMK,4.936224878945363,81
full_dataset,Seurat v3,KLRD1,4.93144813321598,82
full_dataset,Seurat v3,MYL9,4.912883445125613,83
full_dataset,Seurat v3,MYOM2,4.897737550992814,84
full_dataset,Seurat v3,IGHG1,4.781438785800359,85
full_dataset,Seurat v3,IL1B,4.779715863733022,86
full_dataset,Seurat v3,TREML1,4.750787862012384,87
full_dataset,Seurat v3,CD79A,4.705288859550871,88
full_dataset,Seurat v3,ENHO,4.704586823390215,89
full_dataset,Seurat v3,LINC00996,4.603529405971411,90
full_dataset,Seurat v3,IGHD,4.58091891422682,91
full_dataset,Seurat v3,C2orf88,4.567420176021493,92
full_dataset,Seurat v3,MS4A1,4.5173818423624805,93
full_dataset,Seurat v3,CCL5,4.502773465076299,94
full_dataset,Seurat v3,GZMA,4.499376926721252,95
full_dataset,Seurat v3,CST3,4.468305426054555,96
full_dataset,Seurat v3,RAB27B,4.465069758683033,97
full_dataset,Seurat v3,IGHG3,4.396746496823092,98
full_dataset,Seurat v3,KLRB1,4.362772560252357,99
full_dataset,Seurat v3,KLRC1,4.336206106883979,100
full_dataset,Seurat,IGHA1,14.817889213562012,1
full_dataset,Seurat,IGHG2,14.30690860748291,2
full_dataset,Seurat,PTGDS,11.636441230773926,3
full_dataset,Seurat,IGHG1,10.389525413513184,4
full_dataset,Seurat,HBG2,10.139410018920898,5
full_dataset,Seurat,PTCRA,9.944300651550293,6
full_dataset,Seurat,MYL9,9.641866683959961,7
full_dataset,Seurat,TMEM40,9.483267784118652,8
full_dataset,Seurat,CLDN5,9.131248474121094,9
full_dataset,Seurat,HIST1H2BJ,9.091588973999023,10
full_dataset,Seurat,CMTM5,8.882539749145508,11
full_dataset,Seurat,CLEC1B,8.788899421691895,12
full_dataset,Seurat,JCHAIN,8.753059387207031,13
full_dataset,Seurat,CTTN,8.711798667907715,14
full_dataset,Seurat,AP001189.1,8.700836181640625,15
full_dataset,Seurat,SMOX,8.599684715270996,16
full_dataset,Seurat,C2orf88,8.444718360900879,17
full_dataset,Seurat,PRKAR2B,8.421324729919434,18
full_dataset,Seurat,MPIG6B,8.104660034179688,19
full_dataset,Seurat,MTURN,8.009138107299805,20
full_dataset,Seurat,GP9,7.934567928314209,21
full_dataset,Seurat,MMD,7.921641826629639,22
full_dataset,Seurat,PDZK1IP1,7.915185928344727,23
full_dataset,Seurat,ACRBP,7.806869029998779,24
full_dataset,Seurat,ESAM,7.752220153808594,25
full_dataset,Seurat,TSC22D1,7.7302937507629395,26
full_dataset,Seurat,AC147651.1,7.71030330657959,27
full_dataset,Seurat,CA2,7.682333946228027,28
full_dataset,Seurat,MAP3K7CL,7.4501729011535645,29
full_dataset,Seurat,ITGB3,7.421764373779297,30
full_dataset,Seurat,TREML1,7.37197732925415,31
full_dataset,Seurat,TSPAN33,7.29914665222168,32
full_dataset,Seurat,C19orf33,7.273054599761963,33
full_dataset,Seurat,ITGA2B,7.216756343841553,34
full_dataset,Seurat,CD9,7.167758941650391,35
full_dataset,Seurat,ITGB5,7.15535306930542,36
full_dataset,Seurat,ANKRD9,7.111384868621826,37
full_dataset,Seurat,HIST1H3H,7.101987838745117,38
full_dataset,Seurat,SPARC,7.098155975341797,39
full_dataset,Seurat,AP003068.2,6.955800533294678,40
full_dataset,Seurat,GMPR,6.8161725997924805,41
full_dataset,Seurat,IGFBP2,6.766448020935059,42
full_dataset,Seurat,TPM1,6.757302284240723,43
full_dataset,Seurat,CCL4,6.745400905609131,44
full_dataset,Seurat,GNAZ,6.739396095275879,45
full_dataset,Seurat,LMNA,6.7356133460998535,46
full_dataset,Seurat,CAVIN2,6.71262788772583,47
full_dataset,Seurat,SH3BGRL2,6.710371494293213,48
full_dataset,Seurat,RAB27B,6.647141456604004,49
full_dataset,Seurat,IGLC3,6.634560585021973,50
full_dataset,Seurat,HEMGN,6.60374116897583,51
full_dataset,Seurat,GNG11,6.5344438552856445,52
full_dataset,Seurat,SNCA,6.524497985839844,53
full_dataset,Seurat,IGLC2,6.409031867980957,54
full_dataset,Seurat,ARHGAP6,6.301632404327393,55
full_dataset,Seurat,GFI1B,6.300213813781738,56
full_dataset,Seurat,CLU,6.286892890930176,57
full_dataset,Seurat,GP1BA,6.200233459472656,58
full_dataset,Seurat,TUBB1,6.195224761962891,59
full_dataset,Seurat,SCN1B,6.1844587326049805,60
full_dataset,Seurat,SMIM5,6.159454822540283,61
full_dataset,Seurat,GAS2L1,6.122167587280273,62
full_dataset,Seurat,NT5M,6.09442138671875,63
full_dataset,Seurat,PGRMC1,5.982244491577148,64
full_dataset,Seurat,DMTN,5.908987045288086,65
full_dataset,Seurat,F13A1,5.83427619934082,66
full_dataset,Seurat,MPP1,5.832577228546143,67
full_dataset,Seurat,HIST1H2AC,5.825541019439697,68
full_dataset,Seurat,NEXN,5.771585464477539,69
full_dataset,Seurat,PTGS1,5.760746955871582,70
full_dataset,Seurat,MYLK,5.698911666870117,71
full_dataset,Seurat,BEX3,5.674190998077393,72
full_dataset,Seurat,FAXDC2,5.62833833694458,73
full_dataset,Seurat,IGF2BP3,5.603806972503662,74
full_dataset,Seurat,AP000547.3,5.588077068328857,75
full_dataset,Seurat,CDKN1C,5.57972526550293,76
full_dataset,Seurat,TRIM58,5.562775135040283,77
full_dataset,Seurat,TBXA2R,5.551543235778809,78
full_dataset,Seurat,MYOM2,5.5185675621032715,79
full_dataset,Seurat,SELP,5.497472286224365,80
full_dataset,Seurat,TNNC2,5.4743757247924805,81
full_dataset,Seurat,TTN,5.471452236175537,82
full_dataset,Seurat,GRHL1,5.351972579956055,83
full_dataset,Seurat,RGS18,5.341432571411133,84
full_dataset,Seurat,RNF11,5.30255651473999,85
full_dataset,Seurat,FHL1,5.277493476867676,86
full_dataset,Seurat,FGFBP2,5.275126934051514,87
full_dataset,Seurat,PF4,5.227754592895508,88
full_dataset,Seurat,THBS1,5.103200912475586,89
full_dataset,Seurat,SENCR,5.051558494567871,90
full_dataset,Seurat,KLRC1,4.979586124420166,91
full_dataset,Seurat,CTDSPL,4.975578784942627,92
full_dataset,Seurat,LILRA4,4.972044467926025,93
full_dataset,Seurat,FCER1A,4.939225196838379,94
full_dataset,Seurat,SPON2,4.923243522644043,95
full_dataset,Seurat,DAB2,4.887491703033447,96
full_dataset,Seurat,TNFRSF17,4.8560709953308105,97
full_dataset,Seurat,TUBA1C,4.811819076538086,98
full_dataset,Seurat,ABCC4,4.807361602783203,99
full_dataset,Seurat,PDLIM1,4.784702301025391,100
full_dataset,scran MV,S100A9,1.1410555644418963,1
full_dataset,scran MV,S100A8,1.1137597660789909,2
full_dataset,scran MV,LYZ,0.989102546640823,3
full_dataset,scran MV,HLA-DRA,0.7155881942704009,4
full_dataset,scran MV,S100A12,0.6739618712803515,5
